id,is_iceberg
5941774d,0.03795594722032547
4023181e,0.9980766773223877
b20200e4,9.402234724120717e-08
e7f018bb,0.9995337724685669
4371c8c3,0.8336206674575806
a8d9b1fd,0.0009352245251648128
29e7727e,0.007506416644901037
92a51ffb,0.9997778534889221
c769ac97,1.4867750053326745e-07
aee0547d,1.749855593757843e-09
565b28ac,1.337977645343713e-10
e04e9775,0.9822231531143188
8e8161d1,0.0030656778253614902
4cf4d256,0.7103049755096436
139e5324,0.04862547293305397
f156976f,0.00021803530398756266
68a117cc,0.0038671493530273438
d9aa7a56,0.023758994415402412
9005b143,0.30268293619155884
5f6d3988,0.9710058569908142
9ad70954,0.4468473494052887
b9087b9e,0.7569082975387573
a39a1427,0.5769122242927551
82fbe8ed,0.3339024782180786
1fae4879,4.5634607204192434e-12
6dd8f13d,0.030914107337594032
bbad5958,0.03802596032619476
54527583,0.48935389518737793
be8fa29c,0.04326913133263588
81a3328f,0.998988926410675
1a3c0ab3,6.795427452743752e-06
4deeeb8b,0.17182576656341553
ac6d5632,0.9229428172111511
472dadb5,0.03808937221765518
96093f95,0.9129115343093872
f5b4e3df,0.9686017036437988
e01a3c92,0.003729933639988303
001680af,0.9616061449050903
8e639f33,0.10107225924730301
a2c16612,0.7562063336372375
a6d76474,4.716163015672237e-10
19c47684,0.4892283082008362
015827b6,0.9995875954627991
7df7f7ce,0.0041585080325603485
0bbf1a3f,0.9317641854286194
636cfbb7,0.7285857200622559
7370030a,0.9998841285705566
43aa97ad,1.253849468696444e-09
ba2b5e63,0.9983503818511963
dfdd335b,0.9909597635269165
e79b13dc,0.00029288826044648886
dc32b195,0.658795177936554
6d868590,0.9859199523925781
75fa59aa,0.0453137643635273
ffe50836,0.09608002007007599
a7bfd784,0.8893210291862488
b3d569e3,0.07103857398033142
6c538c5b,0.04540024325251579
5c7c15f4,0.7423909306526184
0b745139,0.8398288488388062
fd14608e,0.4095504879951477
f0bc8305,0.250098317861557
a10ccb28,0.9997672438621521
543304c7,0.9546464085578918
6c3a4078,2.563158886526029e-11
9b73cc75,0.37939465045928955
5c6c71b1,0.30968886613845825
09ee9186,0.7884148359298706
207c35cf,0.8156644701957703
153c813e,1.5112070173017855e-07
5605d58b,0.6333718299865723
642ca396,0.0004648101457860321
d32d72c0,0.9321508407592773
16646a17,0.9853362441062927
384074af,0.048935793340206146
